logFC	AveExpr	t	P.Value	adj.P.Val	B
13134857	-2.10250546966667	6.87916287272222	-5.40227627130137	5.90376158421063e-05	0.0379276165774661	1.96181034329933
12928661	-1.48868035733333	6.28843319244444	-5.38538785020616	6.10322154540801e-05	0.03829825289579	1.93234017107002
13127931	-2.52311728166667	5.97021693272222	-5.37965345351928	6.17251904874481e-05	0.03829825289579	1.92232377086094
12923629	-1.675461394	5.07531927533333	-5.37302106125076	6.25368248664621e-05	0.03829825289579	1.91073256307551
12925051	-1.675461394	5.07531927533333	-5.37302106125076	6.25368248664621e-05	0.03829825289579	1.91073256307551
12933913	-1.675461394	5.07531927533333	-5.37302106125076	6.25368248664621e-05	0.03829825289579	1.91073256307551
13278516	-1.50995305066667	6.41310435116667	-5.36680511540339	6.33074995065166e-05	0.038342633006425	1.89986307911301
13278126	1.525271107	5.70741710277778	5.36045611362046	6.41047966084276e-05	0.038342633006425	1.88875485751377
13002480	1.381102216	4.90288947727778	5.35388899966136	6.49403945090157e-05	0.038342633006425	1.87725858181571
13176262	1.554305958	7.82759298227778	5.35381536682057	6.49498270008725e-05	0.038342633006425	1.87712964432673
13142939	2.076140731	5.35488660888889	5.34609425328031	6.59468050277225e-05	0.0385835914272911	1.86360474169212
13224191	-1.57848142866667	4.02784886972222	-5.32748447152817	6.84152052753149e-05	0.039673553728149	1.83096932290624
13217771	1.50922636933333	3.59146360094444	5.32283936833466	6.90460716061563e-05	0.0396881664930545	1.82281518997254
13129963	-1.15764027533333	7.6965903375	-5.30648362028526	7.13155803184597e-05	0.0405895317529587	1.79407804459261
12968355	-1.24465222733333	6.41721256238889	-5.3026889730949	7.18530350894763e-05	0.0405895317529587	1.78740508483938
13141743	-1.82303738566667	5.62193104627778	-5.29556036793913	7.28740214447143e-05	0.0408144348481131	1.77486346136406
13024719	1.05434939733333	5.06639577594444	5.2855027494153	7.4340026585346e-05	0.0412826547634284	1.75715578458499
12962718	-1.11399025766667	4.38840946838889	-5.26747391474209	7.70445284423123e-05	0.0424249904182171	1.72537603369827
13000089	-2.23645783033334	7.65623430027778	-5.25813048187773	7.84858516387268e-05	0.0428585073848541	1.70888718297732
13028409	1.23461332933333	6.27982096816667	5.24462184648277	8.06190289253464e-05	0.0434241614506414	1.68502490990326
13111532	-1.48299245866667	4.96021085561111	-5.24319951571482	8.08470836433014e-05	0.0434241614506414	1.6825108697224
13263937	-1.84018000166667	3.96327458822222	-5.23459336320186	8.22412425956626e-05	0.0434664541876213	1.66729270162784
13007442	-1.14964022066667	9.40890307427778	-5.23452462500884	8.22524770978062e-05	0.0434664541876213	1.66717110866352
13168693	-1.301161321	4.68290442122222	-5.22396233136748	8.39977044997505e-05	0.0440336126436772	1.64847890269614
13187378	1.103919269	5.82505965644444	5.20445833061999	8.73213963001655e-05	0.045318861171181	1.61391943577042
12956619	-1.93616154666667	5.17093325555556	-5.20152647118129	8.7832611536137e-05	0.045318861171181	1.60871961338482
12981779	-1.43889037133333	4.08369135783333	-5.1968980631074	8.86459321205666e-05	0.0453811768749726	1.60050831087334
12980309	-1.51924262	5.37896982766667	-5.18934343581162	8.99901678197323e-05	0.0456309304197312	1.5870988699511
12950043	-1.86834112233333	7.06168936066667	-5.18116391408034	9.14692950626868e-05	0.0456309304197312	1.57257088565546
13135086	-1.74094642733334	7.03228576438889	-5.18074222122021	9.15462265859501e-05	0.0456309304197312	1.57182163634594
13063087	-1.89392660233333	8.17642052277778	-5.17480112744159	9.26372026244875e-05	0.0456309304197312	1.56126296573983
12964891	-2.09150873066667	6.46499560861111	-5.17249494602956	9.30642923205371e-05	0.0456309304197312	1.55716298089413
13066780	-2.47992073	6.54610412416667	-5.17116270708057	9.33119380454765e-05	0.0456309304197312	1.55479414365128
13214955	1.948204935	4.1954207795	5.16603253424507	9.42719271960719e-05	0.0457588951504015	1.5456698511746
13123204	0.983525583333334	3.61839031105556	5.15133791328782	9.70783735149017e-05	0.0467746445565035	1.51951364784493
13238263	-1.23804378166667	6.98950861111111	-5.12962507276772	0.000101383612583494	0.0473920824618023	1.48080832704527
12981240	-1.96377767133334	4.72688873955556	-5.12789241580203	0.000101735526524636	0.0473920824618023	1.47771678482498
13131583	-1.98058537233333	7.21307119361111	-5.1256568109558	0.000102191451570066	0.0473920824618023	1.4737272104742
13038489	-1.48928664333333	5.2034048695	-5.12385659167475	0.000102560113615429	0.0473920824618023	1.47051409024146
13040952	-1.56051275833333	6.40901542438889	-5.12339584024844	0.000102654689543555	0.0473920824618023	1.46969164408581
13110612	-1.53729287666667	4.86088217033333	-5.12317895903883	0.000102699238639603	0.0473920824618023	1.46930449836457
12948965	-1.45980072366667	8.44910492622222	-5.11452975563178	0.000104492173844287	0.0478822599137653	1.45385970128718
13050900	-1.76349884666667	6.04111958711111	-5.10687156274191	0.000106106568457599	0.0479908542437123	1.44017566564844
12954105	-1.43940371233333	8.65839982005556	-5.10646071583204	0.000106193899788461	0.0479908542437123	1.43944130898718
12984519	-1.70495484733333	3.82080540138889	-5.0968659218234	0.000108254585957899	0.0485870308811589	1.42228456847463
13053627	-1.52624130866667	4.63051665205556	-5.08350983491296	0.000111191829285553	0.0486198603166296	1.39838049655565
13268697	-1.262369612	5.72893243	-5.0781628090526	0.000112390612714865	0.0486198603166296	1.38880360977097
12958912	-1.17901518833333	5.58488815005556	-5.07624126260673	0.000112824657845737	0.0486198603166296	1.38536100838386
12943975	1.232835932	7.08307367388889	5.07235385646276	0.000113708039917083	0.0486198603166296	1.3783948307235
13021561	-1.69572921933333	5.14848624066667	-5.06985606234705	0.000114279396269113	0.0486198603166296	1.37391770063101
13275710	-1.149560762	6.358729986	-5.06806500641081	0.000114690908020211	0.0486198603166296	1.37070681391259
13251579	-1.64701239633333	8.52029829022222	-5.06521431051365	0.000115349028972438	0.0486198603166296	1.36559534890529
13101725	-1.16720037733333	5.56073253711111	-5.0637859018862	0.000115680255982888	0.0486198603166296	1.3630337010753
13213527	-1.22596868166667	5.48192601211111	-5.05936716273925	0.000116711105900118	0.0486198603166296	1.35510751591438
13133735	-1.287163331	5.45643184277778	-5.05800876871813	0.000117029901854799	0.0486198603166296	1.3526703268959
13032589	-2.996544292	6.09032655533333	-5.05753358377032	0.000117141632451928	0.0486198603166296	1.35181770383099
13035393	1.10302621533333	7.44549695772222	5.0545051744515	0.00011785628757398	0.0486198603166296	1.34638309768437
13241861	-1.33592717866667	6.18595018538889	-5.0484226824293	0.000119305238286802	0.0486198603166296	1.33546395537762
13191558	-2.448368417	6.51983926022222	-5.04473920025469	0.000120191601210039	0.0486198603166296	1.328848956818
