genes,C1,C2,T1,T2
15502,314.61,466.04,502.83,373.26
15504,0.34,1.89,1.86,4.06
15505,130.67,137,251.92,120.25
15507,516.65,50.24,34.98,110.1
15510,331.68,492.96,485.43,622.2
15511,30.86,1.37,6.42,1.86
15512,13.45,3.6,2.53,4.4
15516,902.46,1720.82,1489.58,1468.67
15519,25.86,46.81,63.7,59.36
15525,168.77,388.03,367.33,340.95
15526,151.36,154.49,138.04,229.84
15528,467.87,1012.67,910.37,894.32
15529,12.58,3.94,7.6,5.07
15530,66.37,27.26,20.95,29.43
15531,5.69,7.54,5.74,4.74
15547,12.93,18.18,13.85,20.29
15550,0,0.34,0,0
15552,0.34,0,0,0
15559,7.07,0,0,0
15561,0,0,0.34,0
15567,0,1.2,0.68,0.51
15568,72.58,199.41,203.43,190.43
15569,0.52,57.78,79.92,16.07
15571,0.34,51.27,69.78,9.3
15572,0,24.86,33.62,7.78
15574,8.96,18.69,18.92,19.96
15586,0.86,0,0.84,0
15587,18.79,36.52,32.1,29.93
15874,106.88,61.73,97.49,87.78
15891,0,0,0,0.34
15893,6.55,7.2,10.98,12.52
15894,36.89,2.06,2.7,3.55
15896,27.58,14.06,7.6,17.25
15900,27.58,2.57,1.52,3.21
15901,16.89,114.71,82.12,76.27
15902,146.53,317.38,197.86,368.86
15903,52.92,224.79,332.86,239.99
15904,0,2.91,5.74,1.18
15925,11.03,12.52,12.17,11.5
15926,67.58,54.01,55.59,53.44
15929,54.13,78.02,68.6,91.66
15930,1.03,0,0,0
15931,15.52,8.57,11.83,6.43
15936,7.76,12.69,9.29,11.33
15937,45.86,0.51,0.51,1.86
15939,16.38,7.89,9.29,6.43
15944,0.34,0,0,0
15950,8.62,0,0,0.68
15953,11.38,0.34,0,0.51
15957,41.72,0,0,0
15958,10.17,5.14,2.7,3.21
15959,22.24,0.69,0.84,0.68
15975,4.31,2.57,2.87,2.37
15976,32.58,10.8,10.31,15.73
15979,33.96,20.4,18.59,30.95
15980,12.58,10.29,8.11,15.9
15982,29.65,24.69,22.47,11.16
15983,37.41,56.41,52.55,67.14
15985,0,0,0.68,0.34
16000,13.1,8.57,12.84,12.18
16001,15,92.25,105.26,66.97
16002,515.45,1854.39,1287.5,3095.46
16004,39.3,62.76,44.1,126.5
16005,0,0,0,0.51
16006,0,1.37,0,6.76
16007,45.34,8.4,8.11,10.15
16008,10.69,103.56,155.61,69.17
16009,69.82,21.26,18.42,31.96
16010,51.03,246.74,173.52,200.92
16011,16.2,112.14,69.61,126
16012,33.1,0.34,0.34,0.51
16068,6.03,3.09,2.53,2.2
16069,0.69,0.51,0,0
16145,19.14,1.03,2.2,2.88
16147,0,0.86,0.51,4.06
16149,65.34,1.03,3.38,3.04
16150,11.38,22.98,21.46,17.76
16151,25.34,17.49,17.57,19.28
16154,4.31,0,0.34,0.68
16155,16.03,5.66,5.24,12.01
16156,1.38,0,0.34,0
16157,162.05,30.52,41.06,53.1
16161,1.55,0,0,0
16164,25.34,2.74,1.52,4.4
16165,0,0,0,0.51
16168,5.52,0.51,0.84,2.03
16169,2.24,0,0,0.51
16170,2.07,0,0.34,0.68
16172,8.96,2.57,3.04,3.55
16173,1.21,0,1.69,1.35
16175,4.14,0,0,0
16176,1.55,0,0,0
16177,2.59,1.03,0.34,4.57
16178,322.54,0,0,0
16179,43.44,29.83,31.93,25.37
16180,10.34,1.89,1.69,3.55
16181,3.45,0,0,0.34
16184,15.69,0,0,0
16185,12.41,0,0,0
16186,95.85,5.49,5.74,8.12
16188,6.9,2.4,1.69,2.2
16190,76.37,9.77,6.59,5.58
16192,1.38,0.34,0,0.68
16193,1.03,0,0,0
16194,6.9,0,0.68,0
16195,59.65,10.97,12.67,15.9
16201,17.76,68.59,64.54,60.04
16202,181.18,85.9,98.17,107.39
16205,5.86,1.37,1.35,5.58
16206,5.86,43.21,44.44,23.68
16210,43.96,22.63,10.64,12.52
16211,39.48,134.26,129.93,132.59
16319,31.03,85.9,83.64,82.7
16322,0.86,2.4,1.52,2.37
16324,54.13,0,0.34,1.18
16325,0,0,0,0.51
16328,16.89,17.66,13.52,15.73
16329,1.21,3.09,3.89,3.72
16330,5.17,1.2,3.21,4.4
16331,4.65,1.2,1.52,1.18
16332,20.51,28.29,31.93,28.92
16337,12.58,20.23,22.13,24.69
16341,520.45,909.79,1097.24,744.48
16348,10.69,15.43,14.36,11.33
16351,22.93,8.23,7.27,12.35
16362,37.06,5.14,2.53,8.12
16363,27.58,7.72,10.48,8.96
16367,2.07,37.21,28.05,22.83
16369,21.55,0.34,0,0
16370,0,0,0.34,0
16371,0.69,4.46,5.58,2.37
16372,4.83,29.32,37.68,14.71
16373,10.86,12.69,14.19,5.75
16391,68.44,8.4,9.29,10.15
16392,0,25.38,14.87,22.49
16396,37.93,79.22,93.94,73.4
16398,0.69,0,0,0
16399,2.07,5.49,5.91,15.39
16400,27.24,9.6,5.91,8.79
16401,10.17,15.43,12,23.85
16402,103.95,35.66,18.08,33.49
16403,2.41,6.69,5.07,3.55
16404,7.93,0.69,0.84,0.68
16407,0,1.2,0.51,0.51
16408,0.86,0,0,0.68
16409,2.07,0,0.34,0.51
16410,161.7,43.21,35.82,50.74
16411,2.93,0,0,0.51
16412,433.56,221.7,222.52,266.88
16413,17.07,25.21,23.32,24.18
16414,5.17,0,0.34,0.34
16416,155.15,12.86,8.11,13.87
16418,126.19,96.71,77.55,82.87
16419,75.51,19.55,22.64,23.68
16420,1.21,0.34,0,0.34
16421,3.79,0.69,0,0
16423,146.7,16.63,18.42,24.35
16424,0.69,0,0,0.85
16425,0,7.03,0.34,80.5
16426,165.32,11.66,20.11,53.44
16427,0.34,0,0,0.34
16428,2.41,0,0,0
16430,123.78,37.38,59.81,60.72
16431,96.88,90.88,87.18,213.26
16432,846.95,195.64,224.21,420.95
16433,0.69,0,0,0
16434,1.38,2.06,1.69,1.69
16438,2.76,9.43,8.79,7.44
16439,1.55,0.69,0.51,1.52
16440,87.23,6.34,6.08,13.19
16443,13.27,54.35,56.26,45.16
16449,3.1,15.77,10.81,6.09
16450,5,2.23,2.2,2.2
16451,54.99,22.46,21.29,21.82
16452,46.72,23.32,36.16,35.52
16453,6.21,0.69,0.68,2.54
16456,54.82,24.52,18.08,32.13
16467,0,0,1.52,0
16468,31.55,35.15,63.02,44.48
16469,2.24,13.2,16.56,12.85
16475,4.65,48.01,45.28,21.14
16476,84.64,34.81,34.13,37.21
16477,19.31,1.71,0.51,2.88
16478,64.65,31.55,24.67,31.29
16480,123.78,12.35,8.96,25.71
16483,0.52,0,0,0
16485,5,1.37,1.69,1.35
16492,0,0,0.34,0.34
16493,0,2.23,1.52,1.86
16494,0,1.2,0.51,0.68
16497,0.34,0.69,0.68,1.86
16498,4.48,1.71,1.69,1.69
16500,3.79,6.34,5.41,5.58
16504,0,1.71,1.86,1.01
16509,0,1.54,2.03,5.41
16510,0.34,0,0,0.51
16511,0.52,17.49,13.01,13.53
16512,0,0.34,0.34,0
16513,0.34,0.69,0.51,0
16515,0.34,1.37,1.52,1.35
16516,1.03,0.34,0.68,1.01
16518,3.1,2.4,4.39,6.76
16520,0,0,0.34,0
16521,0,2.4,0.84,5.07
16522,0,0.34,0,0
16523,0.86,0,0,0.34
16525,1.38,2.74,1.35,1.18
16526,10.34,1.2,0.84,1.18
16527,0.52,3.43,1.69,10.32
16529,1.03,0.34,0.68,0.34
16532,0.52,0,0,0.85
16533,0.69,2.57,4.56,5.58
16534,0.86,1.89,0.51,1.35
16535,0.34,0,0,0.51
16536,0,2.06,4.9,0.34
16538,1.9,1.54,1.35,0.85
16541,10.52,0,0,0
16542,1.55,1.89,0.84,0.85
16543,25,11.32,17.4,21.65
16548,0.86,3.43,0.84,3.21
16549,26.03,88.48,60.66,43.46
16551,11.38,88.65,84.31,52.09
16552,0,0.34,0,0
16553,5.52,10.12,8.45,7.44
16558,7.07,5.32,5.74,5.24
16559,1.38,0,0,0
16560,0,1.89,3.38,1.52
16561,27.75,57.1,63.02,45.66
16562,8.27,2.74,5.24,3.55
16563,10.69,37.04,34.3,31.46
16564,4.48,12.17,30.92,10.49
16565,20.34,21.09,21.97,19.96
16568,16.03,27.61,23.15,18.1
16569,15.17,11.83,10.31,14.04
16570,2.41,8.74,7.1,5.58
16571,2.76,8.23,5.07,6.43
16572,1.38,5.83,6.93,2.2
16573,163.94,212.96,199.21,222.9
16574,2.41,39.27,57.62,19.62
16576,0,6.86,2.53,2.71
16578,0.69,0.86,1.18,1.01
16579,40.68,40.64,43.93,55.98
16580,1.38,4.12,6.59,10.32
16581,1.55,1.2,0.34,0.51
16582,16.89,7.03,8.96,12.85
16588,11.89,25.55,23.49,23.85
16589,2.07,1.54,1.52,1.18
16590,48.44,4.8,4.06,2.71
16592,12.93,2.23,2.87,5.92
16593,104.12,68.93,70.12,42.28
16594,9.48,14.23,10.48,13.53
16596,0.69,8.23,7.94,15.56
16597,0.34,3.77,4.06,6.93
16598,2.41,0.69,1.18,1.52
16599,6.55,4.46,3.55,3.38
16600,27.41,2.06,1.52,2.03
16601,12.93,0.34,1.35,1.86
16604,0.34,0,0,0
16613,0,0.34,0,0
16622,0.52,0.51,0,0.34
16633,1.03,0,0,0
16644,2.24,1.2,2.37,1.52
16646,26.38,27.09,36.5,24.69
16648,32.75,63.78,61.5,30.27
16649,50.51,51.61,68.26,48.71
16650,51.2,21.26,14.19,17.93
16651,0.34,1.37,0.68,2.2
16653,93.26,94.31,92.76,95.72
16658,0.69,8.4,12.17,6.93
16664,1.55,2.4,0.84,4.23
16665,1.21,8.06,11.83,13.87
16667,2.41,2.23,4.39,4.74
16668,686.98,13.03,8.79,50.23
16669,322.71,14.06,9.12,14.71
16673,1.72,0,0,0
16678,0,0.34,0.51,0.34
16680,32.58,0,0,0
16691,616.64,66.19,40.21,76.95
16706,0.86,0.34,0.51,0
16709,17.58,38.24,38.02,22.16
16716,0,0,0,0.34
16728,1.72,3.09,2.53,1.35
16763,58.96,5.66,3.21,10.65
16764,0.34,14.75,9.97,9.13
16765,45.86,452.5,411.59,236.94
16768,1.55,2.57,1.18,2.2
16772,42.93,18.86,24.16,12.52
16773,1.55,4.8,1.52,2.2
16774,2.41,0.69,0.51,1.69
16775,7.76,8.57,5.41,9.64
16776,150.5,19.89,8.45,19.96
16777,43.27,47.15,26.7,35.01
16779,82.92,7.54,9.63,9.81
16780,1.21,0.34,0.34,0
16782,59.47,10.63,8.62,9.47
16783,413.74,101.34,70.12,93.19
16784,233.59,47.67,55.25,80.67
16785,1.72,9.43,7.1,7.95
16790,12.58,2.06,2.53,4.57
16792,47.41,2.4,3.55,6.09
16795,85.33,38.07,37,45.66
16796,145.67,65.16,40.38,46.17
16797,18.62,75.27,112.7,86.93
16798,18.27,18.18,20.78,11.84
16800,21.2,39.09,34.47,33.82
16801,24.31,14.06,11.15,10.15
16803,1855.26,3.6,5.91,6.93
16816,1.9,1.37,2.7,16.91
16818,3.79,4.63,6.59,2.54
16821,0.52,0,0,0
16822,3.28,0.51,1.52,4.57
16825,29.48,99.62,88.37,72.38
16826,23.96,9.43,12.5,10.99
16828,1968.87,4407.5,3734.41,3554.3
16832,0.86,0,0.51,0.51
16834,9.14,7.37,3.04,4.4
16835,124.64,31.89,18.59,30.78
16840,3.45,0.34,0.51,0
16841,0,0,0,1.18
16842,0.52,13.72,19.26,12.52
16847,6.03,0.51,0.51,0
16848,12.58,24.35,23.15,2.54
16852,983.83,169.92,136.18,221.72
16854,23.27,0,0,0
16858,0,0,0,0.51
16859,188.94,0.51,0.51,3.89
16865,63.61,67.73,46.46,76.44
16870,4.31,4.97,10.14,5.41
16871,0,1.37,1.52,1.01
16873,0,0.86,3.38,0
16874,6.72,4.46,3.55,6.09
16875,0,4.97,3.72,8.63
16876,0,7.03,2.7,8.63
16880,154.46,18.18,18.25,23.68
16881,10.86,34.29,25.18,26.04
16882,22.58,19.72,24.67,19.11
16885,114.29,24.01,35.99,19.62
16886,209.63,39.78,31.26,35.35
16889,19.65,9.43,6.08,11.33
16890,1.21,1.89,0.68,2.03
16891,35.68,1.89,2.2,1.86
16897,6.03,49.55,52.89,26.89
16904,3.1,0.34,0,0.51
16905,144.81,21.6,18.75,59.53
16906,20.69,52.81,98.67,45.83
16907,22.24,118.65,107.8,98.77
16909,4.65,26.23,18.92,33.66
16911,12.93,122.77,123.51,84.22
16912,1.03,0,0,0
16913,15,0,0,0
16917,0,0.34,0,0
16918,1.03,33.26,30.41,11.67
16922,34.48,6,7.6,15.73
16923,2.93,1.71,1.69,2.03
16924,0.52,0.34,0,1.52
16948,3.28,1.54,2.37,0.68
16949,2.93,4.97,5.74,16.24
16950,4.14,8.06,12.67,14.88
16952,295.3,2.06,1.52,5.41
16956,6.21,4.46,6.76,16.74
16963,0.34,0,0,0
16969,14.48,4.12,3.55,5.41
16970,0,0,0,0.51
16971,16.2,35.84,44.61,26.21
16973,4.31,7.37,6.08,8.63
16975,12.24,15.26,17.23,7.78
16976,47.58,43.55,40.04,71.03
16977,0,0.69,0,0
16978,25.51,15.09,14.7,20.8
16979,0,27.61,27.37,10.49
16980,0.52,2.23,3.21,0.68
16981,0.34,2.06,2.37,2.88
16985,76.2,15.43,14.19,27.91
16987,47.58,55.55,43.42,45.83
16988,8.96,0.69,1.69,2.37
16992,0.34,0,0,0.34
16993,89.99,70.13,56.43,90.48
16994,0.52,0,0.34,0.68
16995,2.59,0.34,0,0.34
16997,3.28,0,0,0.68
16998,66.37,8.74,8.79,13.36
17000,81.54,29.83,35.31,52.43
17002,1.03,0,0,0
17022,131.53,24.69,61.5,60.04
17025,42.93,82.82,69.44,60.38
17035,27.41,20.23,16.39,21.48
17057,0.34,0,0,0
17060,0.34,0,0,0.51
17063,1.21,0,0,3.21
17064,30.17,27.95,28.22,31.46
17067,2688.25,0,0,2.03
17069,162.22,15.6,10.81,13.53
17071,0,0,0,0.34
17075,33.79,41.67,28.39,29.77
17079,0.52,0,0,0.34
17082,0,0,0,0.51
17083,39.65,68.76,63.87,78.98
17084,2.41,0,0.51,2.03
17086,6.21,0,0,0
17087,4.31,0,0,0
17089,43.27,242.45,196,196.01
17095,6.38,15.09,18.42,33.32
17096,25,9.77,6.59,12.18
17105,0.52,0,0,0
17110,33.79,1.37,5.58,6.43
17112,7.93,0,1.18,1.01
17113,60.85,23.32,21.8,27.74
17116,0,8.92,12.67,10.15
17117,1.72,4.8,3.38,5.41
17118,148.08,799.54,616.38,319.98
17119,16.03,8.23,9.29,6.6
17120,14.14,10.12,8.11,16.74
17121,30.34,24.69,32.1,29.77
17122,14.31,4.63,3.38,4.74
17123,0.34,1.03,1.18,1.52
17125,16.55,28.81,34.13,18.6
17126,11.38,14.23,12.84,14.88
17127,7.93,63.1,70.12,45.16
17128,41.72,55.9,60.83,48.71
17129,22.58,40.12,32.44,35.85
17130,10,25.89,19.6,34.5
17131,38.44,24.01,25.51,40.59
17132,24.31,6.52,15.21,27.74
17133,39.48,2.06,1.69,4.06
17134,26.03,17.49,12.33,15.9
17135,48.27,7.54,6.25,13.36
17136,0.34,0,0.34,0
17147,0,1.03,0.68,0.85
17149,27.41,88.82,63.02,57.33
17150,10.34,144.89,122.5,140.88
17151,8.79,7.72,5.91,6.43
17153,16.89,0,0.84,0.34
17155,72.23,2.23,3.21,11.16
17156,32.93,35.15,28.39,40.93
17158,43.79,11.83,12,12.68
17159,7.76,2.23,0.68,2.03
17160,12.76,2.74,3.21,4.4
17161,55.34,29.15,30.58,24.35
17164,103.78,130.48,127.4,119.23
17165,12.24,24.69,20.61,18.1
17167,0.34,0,0,0
17168,7.07,8.23,7.27,8.63
17169,49.65,53.84,42.41,46.85
17171,0,0.51,0,0.51
17172,0,12.35,13.85,1.52
17173,12.41,0,0,0
17174,0.52,0,0,0
17175,1.38,1.71,4.56,5.24
17178,9.48,2.4,1.18,1.18
17179,0.86,1.71,1.18,1.35
17181,50.86,1.71,1.86,4.74
17182,0,2.06,4.22,1.69
17184,98.43,278.12,334.04,228.32
17187,60.16,39.09,41.73,47.02
17188,74.82,101.51,163.22,146.46
17189,0.69,1.37,0.84,3.72
17190,8.79,5.32,6.93,6.26
17191,95.5,36.52,31.93,38.9
17192,64.3,115.05,130.1,72.22
17193,2.24,9.09,10.98,7.1
17194,0,0,0,0.68
17195,0,0,0,3.21
17196,0.69,4.63,6.93,4.06
17200,0,0.34,0.34,0
17202,0.34,0,0.51,0.51
17207,11.21,5.83,4.22,4.9
17210,168.08,89.5,105.94,95.22
17215,7.59,38.92,26.87,15.22
17216,36.72,164.26,134.83,123.63
17217,26.38,94.99,78.91,68.33
17218,44.3,163.58,181.47,137.84
17219,82.06,302.98,318.66,255.55
17220,65.51,241.59,272.37,208.36
17221,0.34,0,0,0
17222,75.68,122.77,125.03,123.97
17228,2.59,0,0,0
17229,0.86,0,0,0
17230,0.69,0,0,0
17231,9.48,0,0,0
17235,0,0,0,0.34
17237,3.62,2.57,1.52,3.89
17240,7.24,12.52,23.65,18.6
17242,45.51,934.14,708.63,854.75
17245,7.41,18.69,22.98,20.46
17246,42.58,22.46,19.43,19.62
17248,3.96,1.54,3.55,1.52
17250,13.27,6,7.43,5.75
17252,5.17,4.12,2.37,3.72
17254,22.93,9.77,8.11,9.13
17256,122.57,88.3,127.23,90.48
17257,11.21,20.23,20.78,14.71
17258,3.28,1.2,1.35,1.52
17260,4.83,15.95,11.32,17.59
17261,10,2.4,1.52,4.4
17263,102.57,254.97,188.06,415.03
17268,13.62,73.04,62.52,66.13
17274,49.3,40.29,47.65,42.62
17279,8.45,69.1,61.16,63.76
17281,11.21,10.97,8.62,8.79
17283,5.34,10.97,7.27,7.27
17285,0,32.75,16.39,12.52
17286,9.14,20.92,12.5,7.78
17289,0.34,0,0,0.34
17293,0,0,0.68,0.51
17294,170.32,1098.4,892.63,985.99
17295,6.72,9.6,8.62,7.27
17299,3.79,12,6.08,8.79
17300,0.34,23.32,18.42,9.81
17301,0,3.26,2.87,1.52
17304,114.47,49.38,56.43,55.64
17305,9.65,15.43,20.78,8.46
17306,0,0,0.34,0.51
17308,109.47,40.64,46.13,59.36
17309,0.34,0,0,0
17311,20,11.32,10.98,8.96
17313,416.67,0,0.34,5.41
17314,0,5.14,3.55,3.21
17318,3.96,17.49,13.18,7.27
17319,0.86,2.06,0.84,2.71
17330,13.45,22.12,20.61,23.17
17339,0.34,0,0.34,0
17341,6.03,0.34,0,0.68
17342,61.37,0.86,1.18,2.03
17344,25,62.24,52.38,49.72
17345,27.41,129.11,144.13,148.32
17346,17.93,6.52,7.43,6.26
17347,133.09,76.64,91.41,92
17349,1.72,12.35,11.15,10.49
17350,7.59,13.89,12.17,15.56
17354,32.58,55.9,80.43,55.64
17355,20.17,7.03,7.77,7.27
17356,54.65,60.87,48.66,45.33
17357,284.27,890.07,882.66,565.21
17364,0,0,2.03,0
17380,8.1,2.4,3.89,2.54
17381,2.59,0,0,0
17384,0.86,0,0,0
17385,1.55,1.89,0.84,1.35
17387,15,16.98,13.69,21.14
17388,35.17,45.44,58.8,50.4
17389,0.34,1.03,2.03,2.2
17390,70.16,129.97,113.21,160.33
17391,0.86,1.03,1.01,0.68
17394,9.65,7.54,10.81,16.57
17395,3.79,0,0.34,0.51
17420,16.72,24.69,26.87,26.04
17423,20.69,12.86,9.63,9.81
17425,6.03,6.34,8.79,6.09
17427,2.24,31.72,46.13,20.97
17428,40.68,28.46,26.7,27.4
17433,0,0.34,0,0
17434,72.58,58.98,65.9,62.91
17436,145.67,20.23,18.92,30.44
17444,0,0.69,1.52,2.37
17448,430.29,324.41,343.5,376.13
17449,193.42,281.03,391.32,374.27
17454,39.82,18.52,15.38,31.63
17463,144.12,218.1,240.6,185.36
17470,26.55,2.06,2.2,3.72
17472,14.65,0.34,0.84,2.2
17474,0.34,0,0,0
17475,1.55,31.89,22.47,18.6
17476,14.65,0.34,1.18,3.04
17480,0.34,1.2,0,2.54
17523,3.45,4.12,4.9,25.88
17524,41.55,19.2,14.36,21.31
17527,12.07,4.8,4.73,5.24
17528,0,0,0.34,0
17532,11.72,3.26,1.69,6.09
17533,1.9,0.69,1.69,4.74
17534,2.07,3.43,4.06,4.4
17535,8.1,25.89,21.12,20.29
17536,26.55,122.08,80.09,97.58
17540,1.72,2.4,1.18,4.74
17681,4.31,7.2,16.9,15.73
17684,144.29,49.38,37.85,36.36
17685,0.34,2.06,0.34,0.34
17687,1.03,0.69,2.7,1.18
17688,10.86,56.75,45.79,43.8
17690,0,16.29,23.49,3.89
17691,33.27,14.57,14.7,19.79
17692,9.14,12.35,10.48,14.21
17698,44.48,19.89,13.52,19.62
17700,0,3.43,2.87,1.35
17701,1.03,72.53,62.69,55.3
17702,6.72,28.63,29.23,25.88
17703,0,34.98,16.22,0.68
17713,59.82,57.96,62.69,75.43
17714,27.41,40.81,42.07,33.66
17750,8104.24,471.87,330.49,856.1
17754,1.38,8.4,6.08,5.58
17755,14.65,60.18,61.84,25.71
17756,2.24,30.52,58.63,16.91
17758,155.15,98.94,123.34,96.06
17760,23.45,6.86,6.93,1.69
17761,2.93,3.26,2.2,3.04
17762,0.69,5.14,10.14,1.86
17763,1.9,0.86,1.52,1.52
17764,26.89,18.35,15.21,17.08
17765,30.17,87.1,88.87,85.24
17766,2.41,11.15,5.07,8.12
17768,18.27,62.76,42.92,43.8
17769,4.83,4.97,4.22,3.55
17772,4.65,1.71,1.86,3.72
17775,313.58,119,158.99,201.43
17776,25.86,21.09,26.7,15.56
17777,0.69,8.23,6.42,37.71
17826,11.38,51.95,51.2,35.35
17827,25.86,44.24,35.31,28.07
17828,31.38,52.64,49.51,33.82
17829,6.55,0.86,0.34,0.68
17831,0,0.34,0,0.34
17846,98.43,197.01,256.82,183.67
17847,27.58,35.84,36.5,31.29
17850,21.2,26.41,21.29,27.91
17855,17.93,12.86,8.45,14.21
17857,3.28,0,0,0.51
17858,5.17,0.51,0,0
17859,13.1,23.83,19.43,15.9
17863,6.9,2.91,2.53,5.58
17864,0,1.2,0.34,0
17865,12.93,22.98,15.54,17.93
17868,0,40.64,24.67,72.89
17869,42.24,41.67,36.83,43.97
17872,13.96,4.8,5.58,5.41
17873,0.52,0,0,0
17874,18.62,0.86,1.35,2.03
17876,11.72,107.68,99.69,66.97
17877,0,2.74,3.21,3.55
17878,0,0.34,0,0
17880,1.9,1.2,0,2.54
17883,2.07,14.06,6.59,4.57
17886,67.92,24.35,21.12,21.31
17888,0,51.1,41.06,121.77
17896,51.72,660.31,432.21,1250.84
17897,0,173.52,135.17,308.82
17898,0,256.68,152.24,699.49
17901,0,80.25,43.93,135.47
17906,0,185.7,220.83,783.89
17907,1.55,42.01,30.24,32.64
17909,29.48,19.03,25.01,15.73
17910,0,0,0.51,0
17912,29.13,30.69,24.33,23
17913,66.2,6.52,5.74,8.63
17918,45.34,36.01,29.74,28.07
17919,0.34,0,0,0
17920,8.96,5.32,6.25,14.88
17922,0,0,0,0.34
17925,20.17,21.26,12.84,15.73
17927,0,0.34,0.84,1.18
17928,0,2.06,2.2,0.51
17929,0.34,11.15,4.56,25.88
17930,1.21,0,0,0
17931,13.45,11.32,11.15,13.7
17932,0,6.69,5.58,1.01
17933,0,0,0.34,0
17936,21.89,9.6,10.48,13.02
17937,12.24,16.63,12.17,15.56
17938,480.11,1726.99,1223.29,1096.26
17939,39.3,3.94,4.9,9.81
17951,0.34,0,0,0
17952,0.34,0,0.34,0
17954,0,3.94,4.56,4.74
17955,62.92,95.16,102.39,103.67
17957,0.69,0.51,0.84,0.51
17960,0,0,0,0.34
17961,4.48,5.14,3.21,4.74
17965,488.73,14.57,21.97,20.97
17966,54.82,31.21,41.9,35.01
17967,6.55,18.86,14.87,14.21
17969,9.65,4.63,9.12,13.7
17970,6.21,1.54,1.69,2.54
17972,18.1,7.89,6.42,11.84
17973,13.1,22.46,15.54,13.19
17974,2.59,9.43,12,6.6
17975,258.41,581.27,609.96,449.02
17977,1.55,11.83,8.45,8.96
17978,8.79,10.97,9.12,10.32
17979,15.34,16.98,16.22,11.84
17984,39.99,186.38,211.03,188.07
17986,0.34,8.74,5.07,1.01
17988,209.28,2.4,1.01,3.21
17991,213.76,268.86,273.21,315.25
17992,128.43,163.23,186.87,251.15
17993,195.32,200.27,208.84,206.16
17995,26.38,45.27,23.32,28.24
17996,0.52,1.37,0.68,0.68
17997,27.07,66.01,63.36,49.72
17999,64.82,256,218.13,173.69
18000,190.15,198.56,208.67,198.21
18002,183.6,197.36,241.11,205.15
18003,23.27,10.12,7.1,4.57
18004,0,0.51,0,0
18005,4.83,24.18,13.35,11.67
18007,24.31,73.73,93.27,77.46
18008,14.14,111.8,123.17,58.69
18010,25.86,7.03,6.42,14.38
18011,2.24,5.14,4.06,3.55
18012,0,36.69,41.4,9.47
18014,0,11.83,11.49,1.18
18015,9.48,24.52,25.01,16.4
18016,22.93,32.58,37,33.82
18018,10,7.89,4.06,10.49
18019,1.38,0.34,0,0.68
18020,1.72,8.4,8.62,6.6
18021,19.14,24.01,22.13,23.68
18022,0,2.06,0.68,4.57
18023,227.21,117.8,133.82,135.81
18024,3.1,2.23,1.86,1.18
18025,0,0.51,0.68,1.01
18027,1.55,3.09,3.21,6.26
18028,8.79,13.37,12,46.34
18029,12.58,9.26,13.18,18.1
18030,43.61,13.2,7.27,9.98
18032,2.24,0,0,0
18033,32.93,31.89,31.26,36.53
18034,8.45,2.4,2.53,1.01
18035,70.51,14.06,19.6,21.31
18036,11.21,14.75,14.19,13.19
18037,7.76,4.29,4.06,4.23
18038,3.79,4.8,4.73,2.03
18039,0,1.71,1.69,0
18040,0,32.24,47.14,10.65
18041,37.24,22.63,22.64,35.01
18044,27.93,68.07,59.31,45.83
18045,25.17,103.05,88.03,77.46
18046,43.79,75.96,75.7,69.17
18049,0,0.34,0.68,0.51
18053,0.52,18.86,21.46,14.21
18071,0,7.2,7.94,1.86
18072,0,23.32,21.29,4.23
18073,247.21,45.27,32.95,47.86
18074,34.13,31.55,19.09,46.34
18080,17.24,6.34,8.45,4.4
18081,68.44,5.49,4.56,6.76
18082,9.65,48.01,51.03,69.68
18087,37.41,34.81,47.82,48.2
18088,0,0.51,1.69,0
18089,0,5.83,2.37,4.4
18091,0,12.17,8.11,25.88
18092,0,1.37,0,0
18094,0,1.03,1.18,0
18095,0,1.54,0,0.34
18099,16.72,29.83,26.36,15.39
18100,66.03,63.1,53.9,60.55
18102,42.93,59.33,61.5,71.71
18103,698.18,432.61,368.68,513.97
18104,4.48,2.4,0.68,2.71
18105,14.83,16.29,17.57,18.27
18107,67.92,41.49,44.44,67.65
18108,4.65,4.29,2.03,1.69
18109,7.07,218.96,189.58,139.87
18111,4.83,158.43,29.4,104.52
18113,0.52,0,0,0
18114,28.96,87.62,72.32,61.22
18115,13.1,41.15,29.4,46.85
18117,26.2,68.24,53.22,51.92
18119,0.52,0,0.34,0
18120,17.76,32.06,29.74,28.07
18121,0.69,3.6,1.86,1.52
18126,9.83,0,0,0.34
18127,21.55,11.49,10.14,18.27
18128,21.55,60.18,82.12,33.49
18129,3.79,2.74,2.2,1.01
18130,4.65,3.94,2.7,3.89
18131,2.24,43.9,39.37,27.74
18132,26.72,14.4,16.73,13.02
18133,9.14,0.51,0.34,0.85
18139,68.09,136.66,178.26,123.12
18140,63.78,313.27,264.76,237.62
18141,67.06,109.05,184.51,100.97
18145,74.99,14.06,16.73,24.52
18146,127.57,28.29,46.63,18.43
18155,0,0,0.34,0.68
18158,2.24,18.52,12.33,33.66
18159,1.38,1.2,0.51,0
18160,23.62,12.86,8.62,21.99
18162,6.9,11.66,7.6,11.33
18163,0.69,3.09,5.41,1.86
18164,1.38,0.86,0.68,0.85
18166,0,0,0,0.34
18174,40.17,27.43,36.83,34.67
18175,0.34,0,0,1.86
