genes,C1,C2,T1,T2
232449,32.24,39.78,29.23,29.6
232491,35.68,58.13,40.38,47.86
232493,0,0,0,0.51
232533,13.79,18.35,12.5,14.04
232536,18.96,29.32,22.13,26.38
232539,4.14,2.91,1.52,2.03
232560,0,0.34,0.34,0.34
232566,4.31,7.37,8.11,6.43
232670,1.38,1.03,2.03,3.21
232679,82.23,206.1,237.56,197.2
232680,2.24,15.77,12.84,14.04
232714,7.24,0.51,0.84,1.52
232748,9.31,7.89,11.32,8.79
232784,3.79,11.15,11.66,9.3
232785,2.41,12.86,8.45,11.67
232790,0,0.34,0,0
232791,16.72,29.32,25.51,24.02
232798,57.58,42.35,45.45,56.49
232807,53.1,34.29,31.09,32.81
232811,14.31,26.06,24.67,18.6
232813,0.69,0.34,0.51,0
232816,5.34,9.6,7.1,7.44
232821,0.86,6.69,9.29,12.18
232853,6.03,8.74,11.83,8.46
232854,1.03,4.12,3.21,3.72
232855,3.79,6.34,5.74,4.23
232875,0.34,6.69,4.9,4.4
232878,2.07,3.26,2.87,2.03
232879,5.17,11.32,12.33,6.76
232889,0.52,2.06,3.38,1.86
232906,12.07,40.12,57.95,34.16
232910,198.08,145.23,161.19,118.39
232919,1.55,0,0,0
232933,2.59,9.26,6.42,8.29
232934,1.38,2.4,3.89,1.69
232941,0.34,0,0,0
232943,1.72,1.89,3.72,2.71
232946,2.93,1.89,1.35,1.69
232947,18.79,13.03,9.12,8.63
232966,0.69,2.06,2.37,1.52
232969,1.21,13.2,12.84,9.13
232970,0.52,0,0,0
232975,2.07,0,0.34,0
232976,8.79,27.95,18.25,15.73
232984,14.48,0.86,0.34,1.18
232987,1.9,2.74,1.52,2.54
232989,4.83,9.09,4.39,5.58
233011,3.45,6,5.07,3.55
233016,34.82,61.38,62.52,111.11
233020,0,0.86,1.01,0.85
233033,30.51,48.01,32.95,29.77
233038,118.26,0.69,0,0.51
233040,6.21,1.54,1.52,2.03
233046,8.62,2.4,2.2,4.57
233056,8.27,9.43,10.81,10.49
233057,1.21,7.54,4.9,4.74
233058,0,0.69,0.34,0
233060,0.86,1.03,1.18,1.52
233064,9.14,7.03,7.77,6.09
233065,41.89,67.04,79.41,55.81
233066,1.03,5.32,4.9,8.79
233067,0.69,1.37,2.87,2.03
233071,0.86,12.35,7.6,7.1
233073,14.83,12.17,13.69,14.71
233075,0.34,0,0,0
233103,35.34,30.69,26.87,33.82
233107,11.03,88.99,87.69,74.75
233115,7.76,20.06,14.7,17.93
233147,0.86,1.54,1.35,1.18
233189,5.86,8.4,12,12.01
233204,15.34,17.83,16.22,18.43
233208,30.69,52.13,83.64,78.81
233210,11.38,31.21,33.29,21.48
233271,0,0,1.35,0.34
233276,9.14,17.83,12.84,11.16
233280,0.86,2.4,3.21,3.55
233315,9.83,2.74,2.87,3.89
233328,12.41,9.26,9.12,10.82
233332,1.03,2.06,1.52,4.74
233335,1.21,1.2,1.52,1.01
233405,18.45,20.06,16.9,26.72
233406,20.51,90.02,89.21,88.28
233410,8.45,9.77,6.42,7.44
233424,0,0,0,0.34
233489,63.61,54.53,61.33,61.39
233490,30.34,81.1,80.26,69.68
233529,2.07,0.34,0,0.34
233532,8.79,28.63,24.5,25.54
233545,6.9,26.58,19.26,23.51
233549,22.41,87.28,77.72,112.64
233552,43.96,16.12,8.96,19.62
233571,0.52,0,0.34,0
233575,0.34,1.37,0.68,0.34
