logFC	AveExpr	t	P.Value	adj.P.Val	B
11878	2.7589185	-0.51537475	3.232175085763	0.0335306636998383	0.530241586976658	-4.4018077285201
23836	-2.354597	1.248902	-3.22286238858178	0.0338207156313697	0.530241586976658	-4.40225577350413
111970	-1.3665205	2.03838425	-3.2156808604264	0.0340464284179407	0.530241586976658	-4.40260292597114
15130	8.7993265	-1.44114375	3.20985207325374	0.0342309418606196	0.530241586976658	-4.40288574250612
85031	-3.7373645	3.23276725	-3.18826771782521	0.0349246294178936	0.530241586976658	-4.40394131969384
100041585	-2.7550615	2.11009825	-3.17000720746387	0.035524556234084	0.530241586976658	-4.40484463414312
319476	-2.494651	1.678875	-3.16685381930196	0.0356293910855345	0.530241586976658	-4.40500158978709
98256	-3.4395595	2.79138325	-3.16622020187563	0.0356505000471161	0.530241586976658	-4.4050331616203
100038392	-1.613697	0.8439785	-3.16153038400827	0.0358072034157368	0.530241586976658	-4.40526720377297
78303	1.821873	0.5879975	3.16018854508156	0.0358521892142715	0.530241586976658	-4.40533428364408
19116	-1.883242	1.644742	-3.1601525956614	0.0358533953576214	0.530241586976658	-4.40533608150429
654820	-1.4856055	0.92162025	-3.14211997748365	0.0364645221499804	0.530241586976658	-4.40624261430406
11936	-4.994286	1.7762655	-3.13759796167697	0.0366197050341865	0.530241586976658	-4.40647142434958
626802	-1.330018	0.4566065	-3.13109272742316	0.0368443213988222	0.530241586976658	-4.40680163052891
668030	-1.5973105	-0.21470375	-3.11061785049778	0.0375620184109416	0.530241586976658	-4.4078490505391
17932	-2.2764205	-0.29697225	-3.10825075211797	0.0376460543796692	0.530241586976658	-4.40797094146531
69729	-2.354597	1.248902	-3.0582268736558	0.0394751173237269	0.530241586976658	-4.41058614494772
93835	-4.1812825	2.39698775	-3.00946916702351	0.0413597839822626	0.530241586976658	-4.41320879924267
381813	2.4265245	-1.19142625	3.00392641618742	0.0415806841008103	0.530241586976658	-4.41351163767966
382867	-1.433453	0.7607525	-2.99208351797845	0.04205734858433	0.530241586976658	-4.41416195042805
12279	-4.478459	3.303178	-2.97830074038309	0.0426202241549408	0.530241586976658	-4.41492440070481
75329	-1.605099	1.142982	-2.97564519551464	0.042729691358631	0.530241586976658	-4.41507200077109
110855	-3.7090295	0.47051275	-2.96096148303971	0.0433409971063777	0.530241586976658	-4.41589224281473
68074	-1.4394575	0.69778375	-2.95514299153504	0.0435860745235005	0.530241586976658	-4.41621919446351
259104	-1.4299865	0.74463925	-2.95000421071013	0.0438038795559099	0.530241586976658	-4.4165088658329
74437	-8.6923175	4.92798275	-2.92297286270198	0.044970895519878	0.530241586976658	-4.41804682986662
100043232	-2.604148	2.145838	-2.90061294087417	0.0459639241216627	0.530241586976658	-4.41933725030149
73852	-1.768371	0.908625	-2.87253377453376	0.0472476514757187	0.530241586976658	-4.42098146666334
383619	-1.561403	0.922983	-2.87033390644538	0.0473499904999984	0.530241586976658	-4.42111141010719
100316870	-1.273666	0.6827365	-2.85235750254786	0.0481960732424595	0.530241586976658	-4.42217944458707
68279	-4.1195075	1.48660425	-2.84878551154813	0.0483662968960375	0.530241586976658	-4.42239298727004
74149	-1.2837965	0.87758175	-2.84724563238253	0.0484398972446476	0.530241586976658	-4.42248518066237
70571	1.2963525	-1.06632475	2.84087046952299	0.0487460050311234	0.530241586976658	-4.42286773554779
240034	-1.2247805	0.75566675	-2.8251643828736	0.0495098587862727	0.530241586976658	-4.42381622012116
