Gene,c,c,d,d
15416,0.085384,1.030476,1.969774,1.525054
18096,0.066768,2.070402,2.0097,2.145827
239530,0.329803,1.338599,3.277896,1.969238
18994,0.803734,2.093486,2.032784,1.946518
15407,0.554869,1.560991,1.862859,1.414023
226518,0.597283,1.033186,2.050486,1.549183
15511,1.166304,0.759249,1.940861,1.632203
18164,1.597283,0.910386,1.345641,1.415494
101602,0.453791,0.379241,0.98839,1.661116
54377,0.729733,0.508524,1.007249,2.846982
668489,1.569269,0.787906,1.690678,2.466909
13842,0.356275,0.036036,0.725355,0.706204
243897,1.651731,0.728516,0.329786,0.583948
17988,1.155773,0.267701,0.05175,0.0834
18452,0.666681,0.33788,0.083612,0.220582
11676,1.263569,0.435981,0.137141,0.045082
15277,1.277964,0.014443,0.222645,0.104897
217166,1.351222,0.274378,0.278497,0.163616
20249,1.084656,0.370244,0.003211,0.051629
74747,1.279313,0.075132,0.053077,0.087867
229599,1.585005,0.468557,0.505702,0.470967
100689703,0.621736,0.8617,1.296798,0.526799
18559,0.092764,0.711154,1.083971,0.560442
20378,0.170391,0.241498,1.039166,0.308296
654824,1.019974,0.702043,1.030226,1.094124
67749,1.133883,0.505282,1.080558,1.10793
58801,0.369331,0.220829,1.428373,0.297407
68436,0.472761,0.367168,1.895168,0.056701
13479,0.10741,0.760062,0.575978,0.164513
12765,0.084349,0.352182,0.778467,0.211772
319504,0.155624,0.269084,0.554736,0.223407
11647,0.182591,0.002996,0.085251,0.197412
225583,0.740587,0.013759,0.206813,0.500941
17749,0.053791,0.239254,0.543486,1.148062
67531,0.363866,0.075564,0.310318,0.931226
19946,0.053963,0.107852,0.058813,0.468244
69550,0.067533,0.039038,0.565985,1.40561
14622,0.420405,0.780983,0.447821,0.62459
192212,0.176503,0.491476,0.014862,0.983044
12333,0.033294,0.120417,0.353103,0.242911
226250,0.691259,0.28289,0.061192,0.477033
16668,0.610191,0.428008,0.045166,0.029798
16691,0.778446,0.385242,0.25182,0.353751
224833,0.44528,0.366658,0.352998,0.110331
