Type,Sample,Count ,Log10(Number of mutations)
LUNG,case63,5031,3.701654317
LUNG,case64,3731,3.571825249
LUNG,case65,4243,3.627673032
LUNG,case66,6951,3.842047289
LUNG,case67,4984,3.697578034
LUNG,case68,2714,3.433609843
LUNG,case69,343373,5.535766143
LUNG,case70,3992,3.601190533
LUNG,case71,2877,3.458939862
LUNG,case72,3879,3.58871978
LUNG,case73,7821,3.893262286
LUNG,case74,2574,3.410608543
LUNG,case75,4012,3.603360924
LUNG,case76,2096,3.321391278
LUNG,case77,315566,5.499090205
LUNG,case78,2704,3.432006687
LUNG,case79,3544,3.549493713
LUNG,case80,3064,3.486288761
LUNG,case81,5112,3.708590845
LUNG,case82,4719,3.673849977
LUNG,case83,7322,3.864629725
LUNG,case84,6156,3.789298611
LUNG,case85,14734,4.168320666
LUNG,case86,4425,3.645913275
LUNG,case87,3948,3.596377144
LUNG,case88,4087,3.611404638
LUNG,case89,260248,5.415387401
LUNG,case90,3737,3.572523098
LUNG,case91,3550,3.550228353
LUNG,case92,2771,3.442636526
LUNG,case93,3661,3.563599729
LUNG,case94,4732,3.675044736
LUNG,case95,3234,3.509740016
LUNG,case96,2247,3.351603072
LUNG,case97,5708,3.756483964
LUNG,case98,4360,3.639486489
LUNG,case99,5512,3.741309209
LUNG,case100,2653,3.42373725
LUNG,case101,23079,4.363216987
LUNG,case102,3138,3.496652939
LUNG,case103,2960,3.471291711
LUNG,case104,4162,3.619302076
LUNG,case105,7292,3.86284666
LUNG,case106,3884,3.589279221
LUNG,case107,2793,3.446070936
LUNG,case108,3051,3.484442208
LUNG,case109,3107,3.492341253
LUNG,case110,4566,3.659535907
LUNG,case111,4984,3.697578034
LUNG,case112,2514,3.400365273
LUNG,case113,4713,3.67329744
LUNG,case114,4557,3.658679029
LUNG,case115,3315,3.520483533
LUNG,case116,3284,3.516403148
LUNG,case117,3598,3.556061159
LUNG,case118,2242,3.350635608
LUNG,case119,2695,3.43055877
LUNG,case120,2954,3.470410491
LUNG,case121,9350,3.970811611
LUNG,case122,2486,3.395501124
LUNG,case123,2826,3.451172158
LUNG,case124,4993,3.698361566
LUNG,case125,8538,3.93135615
LUNG,case126,4801,3.681331706
LUNG,case127,5731,3.758230408
LUNG,case128,3460,3.539076099
LUNG,case129,13018,4.114544267
LUNG,case130,2994,3.476251796
LUNG,case131,2978,3.473924693
LUNG,case132,2382,3.376941757
LUNG,case133,2694,3.430397591
LUNG,case134,5342,3.727703884
LUNG,case135,4556,3.658583715
LUNG,case136,3462,3.539327064
LUNG,case137,5533,3.74296067
LUNG,case138,2854,3.455453969
LUNG,case139,4835,3.684396478
LUNG,case140,3443,3.536937023
LUNG,case141,3071,3.487279816
LUNG,case142,3158,3.499412126
LUNG,case143,6463,3.810434156
LUNG,case144,4322,3.635684763
LUNG,case145,13674,4.135895576
LUNG,case146,5065,3.70457945
LUNG,case147,4688,3.670987603
LUNG,case148,2168,3.336059278
LUNG,case149,304356,5.483381868
LUNG,case150,5464,3.737510691
LUNG,case151,19163,4.2824635
LUNG,case152,386359,5.586991033
LUNG,case153,2566,3.409256652
LUNG,case154,287608,5.458800962
LUNG,case155,3139,3.496791316
LUNG,case156,3661,3.563599729
LUNG,case157,8567,3.932828767
LUNG,case158,3990,3.600972896
LUNG,case159,3052,3.484584529
LUNG,case160,3436,3.536053155
LUNG,case161,3793,3.578982843
LUNG,case162,3863,3.586924708
LUNG,case163,6316,3.800442121
LUNG,case164,3600,3.556302501
LUNG,case165,3380,3.5289167
LUNG,case166,2914,3.464489547
LUNG,case167,4026,3.604873771
LUNG,case168,61474,4.788691473
LUNG,case169,5477,3.738542741
LUNG,case170,34606,4.539151403
LUNG,case171,6835,3.834738519
LUNG,case172,3421,3.534153074
LUNG,case173,3447,3.537441283
LUNG,case174,306331,5.486190949
LUNG,case175,3517,3.546172368
LUNG,case176,3368,3.527372083
LUNG,case177,4285,3.631950826
LUNG,case178,33223,4.521438846
LUNG,case179,2702,3.431685345
LUNG,case180,4498,3.653019451
LUNG,case181,2683,3.428620673
LUNG,case182,2569,3.409764104
LUNG,case183,3965,3.598243192
LUNG,case184,4425,3.645913275
PANCREAS,case1,6789,3.831805809
PANCREAS,case2,5342,3.727703884
PANCREAS,case3,7067,3.849235091
PANCREAS,case4,5907,3.771366971
PANCREAS,case5,5864,3.768193962
PANCREAS,case6,10240,4.010299957
PANCREAS,case7,5611,3.749040269
PANCREAS,case8,5535,3.743117625
PANCREAS,case9,8545,3.931712067
PANCREAS,case10,7559,3.878464345
PANCREAS,case11,5268,3.721645766
PANCREAS,case12,4525,3.655618584
PANCREAS,case13,5804,3.763727404
PANCREAS,case14,4828,3.683767261
PANCREAS,case15,5067,3.704750904
PANCREAS,case16,5101,3.707655324
PANCREAS,case17,6541,3.815644149
PANCREAS,case18,9503,3.977860729
PANCREAS,case19,5654,3.752355804
PANCREAS,case20,5616,3.749427099
PANCREAS,case21,5497,3.740125737
PANCREAS,case22,5543,3.743744879
PANCREAS,case23,5787,3.762453482
PANCREAS,case24,5149,3.711722892
PANCREAS,case25,5510,3.741151599
PANCREAS,case26,4421,3.645520515
PANCREAS,case27,4869,3.687439775
PANCREAS,case28,7998,3.9029814
PANCREAS,case29,6057,3.782257574
PANCREAS,case30,4687,3.670894954
PANCREAS,case31,4776,3.679064318
PANCREAS,case32,7783,3.89114703
PANCREAS,case33,5859,3.767823498
PANCREAS,case34,4882,3.688597775
PANCREAS,case35,8420,3.925312091
PANCREAS,case36,5726,3.757851344
PANCREAS,case37,6172,3.790425917
PANCREAS,case38,10263,4.011274329
PANCREAS,case39,6009,3.778802204
PANCREAS,case40,5310,3.725094521
PANCREAS,case41,4785,3.679881942
PANCREAS,case42,8018,3.904066052
PANCREAS,case43,4522,3.655330558
PANCREAS,case44,4996,3.69862243
PANCREAS,case45,5024,3.701049631
PANCREAS,case46,7211,3.857995496
PANCREAS,case47,5272,3.721975402
PANCREAS,case48,6023,3.779812863
PANCREAS,case49,6741,3.828724327
PANCREAS,case50,8942,3.951434666
PANCREAS,case51,5177,3.714078165
PANCREAS,case52,6475,3.811239773
PANCREAS,case53,30650,4.486430479
PANCREAS,case54,4652,3.667639706
PANCREAS,case55,5891,3.770189023
PANCREAS,case56,6528,3.814780146
PANCREAS,case57,4879,3.688330818
PANCREAS,case58,6353,3.802978855
PANCREAS,case59,6813,3.833338389
PANCREAS,case60,11053,4.04348017
PANCREAS,case61,8396,3.92407243
PANCREAS,case62,5270,3.721810615
PANCREAS,case63,8145,3.910891089
PANCREAS,case64,7877,3.896360845
PANCREAS,case65,5199,3.715919817
PANCREAS,case66,5556,3.744762237
PANCREAS,case67,4866,3.687172105
PANCREAS,case68,5271,3.721893016
PANCREAS,case69,11034,4.04273298
PANCREAS,case70,7113,3.852052809
PANCREAS,case71,5381,3.730862992
PANCREAS,case72,5170,3.713490543
PANCREAS,case73,4794,3.68069803
PANCREAS,case74,15967,4.203223325
PANCREAS,case75,4752,3.676876432
PANCREAS,case76,4785,3.679881942
PANCREAS,case77,4785,3.679881942
PANCREAS,case78,5472,3.738146089
PANCREAS,case79,4881,3.688508808
PANCREAS,case80,7852,3.894980291
PANCREAS,case81,5460,3.737192643
PANCREAS,case82,5407,3.73295637
PANCREAS,case83,7370,3.867467488
PANCREAS,case84,11887,4.075072263
PANCREAS,case85,5342,3.727703884
PANCREAS,case86,9393,3.972804322
PANCREAS,case87,6091,3.7846886
PANCREAS,case88,4872,3.68770728
PANCREAS,case89,5186,3.714832512
PANCREAS,case90,5329,3.72664572
PANCREAS,case91,5530,3.742725131
PANCREAS,case92,5655,3.752432609
PANCREAS,case93,7226,3.858897957
PANCREAS,case94,18590,4.26927939
PANCREAS,case95,4623,3.664923893
PANCREAS,case96,4271,3.630529571
PANCREAS,case97,5629,3.750431249
PANCREAS,case98,4281,3.631545228
