a,c,b,d,p,OR,X
3,66291,408,1945016,0.003571005,0.215739516,LPPR1
8,66291,62,1945016,0.000138375,3.785880534,LPXN
5,66291,1063,1945016,2.27E-07,0.138008345,LRBA
22,66291,292,1945016,0.000231206,2.210591202,LRCH1
2,66291,159,1945016,0.14440509,0.369063826,LRCH3
6,66291,24,1945016,2.98E-07,7.335143534,LRCH4
6,66291,152,1945016,0.724003378,1.158180558,LRIG1
5,66291,53,1945016,0.023124375,2.767978692,LRIG3
1,66291,180,1945016,0.038698999,0.16300319,LRP10
8,66291,22,1945016,7.52E-13,10.66929969,LRP11
1,66291,67,1945016,0.39916988,0.437919017,LRP12
4,66291,134,1945016,0.793737276,0.875838034,LRP1
1,66291,2351,1945016,9.78E-19,0.01248004,LRP1B
1,66291,49,1945016,0.607760569,0.598787227,LRP4
9,66291,156,1945016,0.120415517,1.692725431,LRP5
10,66291,226,1945016,0.417951904,1.298255493,LRP6
6,66291,122,1945016,0.377869392,1.442979056,LRP8
1,66291,55,1945016,0.526722662,0.533464984,LRPAP1
5,66291,134,1945016,0.842337724,1.094797542,LRPPRC
16,66291,701,1945016,0.110434413,0.669685002,LRRC16A
5,66291,155,1945016,0.903617789,0.946470133,LRRC20
1,66291,13,1945016,0.420102945,2.256967241,LRRC23
19,66291,222,1945016,6.64E-05,2.511130219,LRRC28
1,66291,36,1945016,0.839826903,0.815015948,LRRC33
1,66291,73,1945016,0.348775394,0.401925673,LRRC37A3
2,66291,121,1945016,0.299572225,0.484968168,LRRC37A5P
6,66291,35,1945016,4.77E-05,5.029812709,LRRc37A
2,66291,84,1945016,0.614242379,0.698585098,LRRC40
1,66291,27,1945016,0.93491762,1.086687931,LRRC42
1,66291,9,1945016,0.235038989,3.260063793,LRRC46
2,66291,31,1945016,0.373689944,1.892940267,LRRC47
3,66291,310,1945016,0.020542315,0.28394104,LRRC49
1,66291,37,1945016,0.818568956,0.79298849,LRRC56
1,66291,18,1945016,0.631007707,1.630031896,LRRC57
1,66291,26,1945016,0.905523658,1.128483621,LRRC58
1,66291,31,1945016,0.956811005,0.946470133,LRRC59
1,66291,274,1945016,0.006455775,0.107082387,LRRC63
4,66291,90,1945016,0.602363771,1.304025517,LRRC6
1,66291,22,1945016,0.777505229,1.333662461,LRRC71
7,66291,48,1945016,8.94E-05,4.278833728,LRRC8A
1,66291,75,1945016,0.333589193,0.391207655,LRRC8B
5,66291,119,1945016,0.646043876,1.232797233,LRRC8C
28,66291,181,1945016,2.89E-16,4.538873347,LRRC8D
1,66291,187,1945016,0.033773165,0.156901466,LRRC9
1,66291,77,1945016,0.319133799,0.381046417,LRRCC1
12,66291,331,1945016,0.833526982,1.063706615,LRRFIP1
5,66291,114,1945016,0.579969753,1.286867287,LRRFIP2
1,66291,240,1945016,0.01223989,0.122252392,LRRIQ1
2,66291,24,1945016,0.209245552,2.445047845,LRRIQ4
9,66291,302,1945016,0.691297651,0.874387971,LRRK1
4,66291,186,1945016,0.357959681,0.630980089,LRRK2
3,66291,170,1945016,0.24988927,0.517774838,LRRN2
6,66291,88,1945016,0.093658498,2.000493691,LRSAM1
3,66291,137,1945016,0.444760495,0.642494324,LRTOMT
1,66291,9,1945016,0.235038989,3.260063793,LRWD1
4,66291,963,1945016,5.16E-07,0.121871544,LSAMP
2,66291,18,1945016,0.093086653,3.260063793,LSM10
1,66291,10,1945016,0.281679905,2.934057414,LSM11
4,66291,9,1945016,2.88E-08,13.04025517,LSM14A
2,66291,44,1945016,0.689441106,1.333662461,LSM14B
7,66291,32,1945016,2.97E-07,6.418250592,LSM1
7,66291,36,1945016,1.86E-06,5.705111637,LSM4
4,66291,25,1945016,0.001544046,4.694491862,LSM5
1,66291,12,1945016,0.374605296,2.445047845,LSMEM1
2,66291,80,1945016,0.663833741,0.733514353,LSP1
7,66291,55,1945016,0.000422316,3.73425489,LSR
25,66291,743,1945016,0.949624272,0.987233315,LTBP1
5,66291,149,1945016,0.972739743,0.984583025,LTBP2
8,66291,22,1945016,7.52E-13,10.66929969,LTBP3
19,66291,89,1945016,8.72E-17,6.263718074,LTBP4
25,66291,54,1945016,3.23E-45,13.58359914,LTBR
3,66291,102,1945016,0.801169167,0.862958063,LTN1
1,66291,13,1945016,0.420102945,2.256967241,LTV1
1,66291,5,1945016,0.066579816,5.868114827,LUC7L2
4,66291,37,1945016,0.020507433,3.171953961,LUC7L3
12,66291,48,1945016,4.27E-13,7.335143534,LURAP1L
3,66291,129,1945016,0.510249356,0.682338933,LUZP1
4,66291,85,1945016,0.526549602,1.3807329,LUZP6
4,66291,4,1945016,1.37E-13,29.34057414,LXN
5,66291,9,1945016,1.09E-11,16.30031896,LY6E
2,66291,11,1945016,0.014631485,5.334649843,LY6G5C
1,66291,2,1945016,0.003566767,14.67028707,LY6K
1,66291,64,1945016,0.427401388,0.458446471,LY9
4,66291,298,1945016,0.054994464,0.39383321,LYN
1,66291,16,1945016,0.550288729,1.833785883,LYNX1
3,66291,26,1945016,0.033487911,3.385450862,LYPD1
4,66291,11,1945016,3.98E-07,10.66929969,LYPD3
3,66291,116,1945016,0.635869506,0.758807952,LYPLA1
1,66291,9,1945016,0.235038989,3.260063793,LYPLA2
5,66291,51,1945016,0.018229836,2.876526876,LYPLAL1
10,66291,42,1945016,1.23E-10,6.985850985,LYRM1
1,66291,19,1945016,0.669476538,1.544240744,LYSMD2
2,66291,12,1945016,0.021266049,4.890095689,LYSMD3
4,66291,394,1945016,0.010470511,0.297873849,LYST
2,66291,50,1945016,0.824122098,1.173622965,LYZL1
1,66291,26,1945016,0.905523658,1.128483621,LYZL2
1,66291,102,1945016,0.18626542,0.287652688,LZTFL1
3,66291,7,1945016,2.25E-06,12.57453177,LZTS2
2,66291,14,1945016,0.039191925,4.191510591,M6PR
1,66291,102,1945016,0.18626542,0.287652688,MAATS1
3,66291,41,1945016,0.190648108,2.146871278,MAB21L3
53,66291,616,1945016,2.08E-11,2.524432515,MACF1
8,66291,255,1945016,0.817472114,0.9204886,MACROD1
10,66291,2949,1945016,2.03E-19,0.0994933,MACROD2
6,66291,705,1945016,0.000250164,0.249707014,MAD1L1
4,66291,5,1945016,4.70E-12,23.47245931,MAD2L1
1,66291,16,1945016,0.550288729,1.833785883,MAD2L1BP
4,66291,148,1945016,0.646405497,0.79298849,MADD
3,66291,74,1945016,0.767999117,1.189482735,MAEA
1,66291,95,1945016,0.216030043,0.308848149,MAEL
3,66291,13,1945016,0.000535287,6.770901724,MAF
8,66291,18,1945016,4.29E-15,13.04025517,MAFG
2,66291,7,1945016,0.001471147,8.383021182,MAFG-AS1
9,66291,13,1945016,5.02E-23,20.31270517,MAFK
1,66291,13,1945016,0.420102945,2.256967241,MAGED2
3,66291,911,1945016,5.02E-07,0.096620991,MAGI1
11,66291,2236,1945016,9.29E-14,0.144340928,MAGI2
2,66291,15,1945016,0.050486358,3.912076551,MAGI2-AS3
4,66291,544,1945016,0.000766837,0.215739516,MAGI3
2,66291,8,1945016,0.003089066,7.335143534,MAGIX
4,66291,8,1945016,5.60E-09,14.67028707,MAGOHB
2,66291,99,1945016,0.458912471,0.592738871,MAK16
3,66291,22,1945016,0.01478271,4.000987382,MAK
7,66291,14,1945016,1.26E-14,14.67028707,MALAT1
16,66291,69,1945016,1.08E-15,6.803611394,MALL
4,66291,9,1945016,2.88E-08,13.04025517,MALSU1
3,66291,113,1945016,0.668546709,0.778953296,MALT1
2,66291,126,1945016,0.271996649,0.465723399,MAML1
16,66291,576,1945016,0.418879084,0.815015948,MAML2
84,66291,615,1945016,4.09E-38,4.007493053,MAML3
5,66291,101,1945016,0.412510806,1.45250367,MAMLD1
1,66291,13,1945016,0.420102945,2.256967241,MAMSTR
2,66291,187,1945016,0.084864881,0.313802932,MAN2A1
2,66291,43,1945016,0.666068732,1.364677867,MAN2A2
3,66291,217,1945016,0.108424204,0.405630057,MAN2B2
